"impcParameterOrigId","name","description","parameterId","parameter_group"
16834,"Coat - color pattern - abdomen","coat_color_pattern_abdomen","IMPC_CSD_010_001","Others"
16835,"Coat - hair distribution - back","coat_hair_distribution_back","IMPC_CSD_011_001","Others"
16836,"Coat - hair distribution - head","coat_hair_distribution_head","IMPC_CSD_012_001","Others"
16837,"Coat - hair distribution - abdomen","coat_hair_distribution_abdomen","IMPC_CSD_013_001","Others"
16838,"Coat - hair texture / appearance - back","coat_hair_texture_appearance_back","IMPC_CSD_014_001","Others"
16839,"Coat - hair texture / appearance - head","coat_hair_texture_appearance_head","IMPC_CSD_015_001","Others"
16840,"Coat - hair texture / appearance - abdomen","coat_hair_texture_appearance_abdomen","IMPC_CSD_016_001","Others"
16841,"Forelimbs - position","forelimbs_position","IMPC_CSD_017_001","Motor_Function"
16842,"Forelimbs - shape","forelimbs_shape","IMPC_CSD_018_001","Motor_Function"
16843,"Forelimbs - size","forelimbs_size","IMPC_CSD_019_001","Motor_Function"
16844,"Hindlimbs - position","hindlimbs_position","IMPC_CSD_020_001","Motor_Function"
16845,"Hindlimbs - shape","hindlimbs_shape","IMPC_CSD_021_001","Motor_Function"
16846,"Hindlimbs - size","hindlimbs_size","IMPC_CSD_022_001","Motor_Function"
16847,"Vibrissae - presence","vibrissae_presence","IMPC_CSD_023_001","Others"
16848,"Vibrissae - appearance","vibrissae_appearance","IMPC_CSD_024_001","Others"
16849,"Head size","head_size","IMPC_CSD_025_001","Others"
16850,"Head morphology","head_morphology","IMPC_CSD_026_001","Others"
16851,"Ears","ears","IMPC_CSD_027_001","Others"
16852,"Snout size","snout_size","IMPC_CSD_028_001","Others"
16853,"Activity (body position)","activity_body_position_","IMPC_CSD_029_001","Behavior"
16854,"Tremor","tremor","IMPC_CSD_030_001","Others"
16855,"Transfer arousal","transfer_arousal","IMPC_CSD_031_001","Others"
16856,"Locomotor activity","locomotor_activity","IMPC_CSD_032_001","Behavior"
16857,"Gait","gait","IMPC_CSD_033_001","Others"
16858,"Tail elevation","tail_elevation","IMPC_CSD_034_001","Others"
16859,"Touch escape","touch_escape","IMPC_CSD_035_001","Others"
16860,"Startle response","startle_response","IMPC_CSD_036_001","Others"
16861,"Unexpected behaviors","unexpected_behaviors","IMPC_CSD_037_001","Behavior"
16862,"Trunk curl","trunk_curl","IMPC_CSD_038_001","Others"
16863,"Limb grasp","limb_grasp","IMPC_CSD_039_001","Motor_Function"
16864,"Forepaw - size","forepaw_size","IMPC_CSD_040_001","Others"
16865,"Hindpaw - size","hindpaw_size","IMPC_CSD_041_001","Others"
16866,"Forepaw - shape","forepaw_shape","IMPC_CSD_042_001","Others"
16867,"Hindpaw - shape","hindpaw_shape","IMPC_CSD_043_001","Others"
16868,"Forelimb digit - number","forelimb_digit_number","IMPC_CSD_044_001","Motor_Function"
16869,"Hindlimb digit - number","hindlimb_digit_number","IMPC_CSD_045_001","Motor_Function"
16870,"Forelimb digit - size","forelimb_digit_size","IMPC_CSD_046_001","Motor_Function"
16871,"Hindlimb digit - size","hindlimb_digit_size","IMPC_CSD_047_001","Motor_Function"
16872,"Forelimb digit - shape","forelimb_digit_shape","IMPC_CSD_048_001","Motor_Function"
16873,"Hindlimb digit - shape","hindlimb_digit_shape","IMPC_CSD_049_001","Motor_Function"
16874,"Forelimb nail - number","forelimb_nail_number","IMPC_CSD_050_001","Motor_Function"
16875,"Hindlimb nail - number","hindlimb_nail_number","IMPC_CSD_051_001","Motor_Function"
16876,"Forelimb nail - length","forelimb_nail_length","IMPC_CSD_052_001","Motor_Function"
16877,"Hindlimb nail - length","hindlimb_nail_length","IMPC_CSD_053_001","Motor_Function"
16878,"Forelimb nail - shape","forelimb_nail_shape","IMPC_CSD_054_001","Motor_Function"
16879,"Hindlimb nail - shape","hindlimb_nail_shape","IMPC_CSD_055_001","Motor_Function"
16880,"Skin color - whole body","skin_color_whole_body","IMPC_CSD_056_001","Skin"
16881,"Skin color - snout","skin_color_snout","IMPC_CSD_057_001","Skin"
16882,"Skin color - ear","skin_color_ear","IMPC_CSD_058_001","Skin"
16883,"Skin color - front paws","skin_color_front_paws","IMPC_CSD_059_001","Skin"
16884,"Skin color - back paws","skin_color_back_paws","IMPC_CSD_060_001","Skin"
16885,"Skin color - tail","skin_color_tail","IMPC_CSD_061_001","Skin"
16886,"Skin texture - whole body","skin_texture_whole_body","IMPC_CSD_062_001","Skin"
16887,"Skin texture - snout","skin_texture_snout","IMPC_CSD_063_001","Skin"
16888,"Skin texture - ear","skin_texture_ear","IMPC_CSD_064_001","Skin"
16889,"Skin texture - front paws","skin_texture_front_paws","IMPC_CSD_065_001","Skin"
16890,"Skin texture - back paws","skin_texture_back_paws","IMPC_CSD_066_001","Skin"
16891,"Skin texture - tail","skin_texture_tail","IMPC_CSD_067_001","Skin"
16892,"Teeth presence","teeth_presence","IMPC_CSD_068_001","Others"
16893,"Upper teeth appearance","upper_teeth_appearance","IMPC_CSD_069_001","Others"
16894,"Lower teeth appearance","lower_teeth_appearance","IMPC_CSD_070_001","Others"
16895,"Genitalia - presence","genitalia_presence","IMPC_CSD_071_001","Others"
16896,"Genitalia - size","genitalia_size","IMPC_CSD_072_001","Others"
16897,"Genitalia - morphology","genitalia_morphology","IMPC_CSD_073_001","Others"
16898,"Mouth morphology","mouth_morphology","IMPC_CSD_074_001","Others"
16899,"Upper lip morphology","upper_lip_morphology","IMPC_CSD_075_001","Others"
16900,"Lower lip morphology","lower_lip_morphology","IMPC_CSD_076_001","Others"
16901,"Contact righting","contact_righting","IMPC_CSD_077_001","Others"
16902,"Vocalization","vocalization","IMPC_CSD_078_001","Others"
16903,"Aggression","aggression","IMPC_CSD_079_001","Others"
16904,"Head bobbing","head_bobbing","IMPC_CSD_080_001","Others"
16905,"Experimenter ID","","IMPC_CSD_081_001","Others"
16906,"Location of test","location_of_test","IMPC_CSD_082_001","Others"
16907,"Number of animals in cage","number_of_animals","IMPC_CSD_083_001","Others"
16908,"Number of days since cage changed","","IMPC_CSD_084_001","Others"
16909,"Images","","IMPC_CSD_085_001","Imaging"
16910,"Size of squares in arena","","IMPC_CSD_086_001","Others"
16911,"Comments (in English)","General comments, in English","IMPC_CSD_087_001","General_and_Equipment"
17587,"Forelimb grip strength measurement","forelimb_grip_strength_measurement","IMPC_GRS_001_001","Motor_Function"
17588,"Forelimb and hindlimb grip strength measurement","forelimb_and_hindlimb_grip_strength_measurement","IMPC_GRS_002_001","Motor_Function"
17589,"Body weight","body_weight","IMPC_GRS_003_001","Weight_and_Body_Composition"
17590,"General comments about the mouse","general_comments_about_the_mouse","IMPC_GRS_004_001","General_and_Equipment"
17591,"Equipment ID","equipment_name","IMPC_GRS_005_001","General_and_Equipment"
17592,"Equipment manufacturer","equipment_manufacturer","IMPC_GRS_006_001","General_and_Equipment"
17593,"Grid model","grid_model","IMPC_GRS_007_001","Others"
17594,"Forelimb grip strength measurement mean","forelimb_grip_strength_measurement_mean","IMPC_GRS_008_001","Motor_Function"
17595,"Forelimb and hindlimb grip strength measurement mean","forelimb_and_hindlimb_grip_strength_measurement_mean","IMPC_GRS_009_001","Motor_Function"
17596,"Forelimb grip strength normalised against body weight","forelimb_grip_strength_normalised_against_body_weight","IMPC_GRS_010_001","Motor_Function"
17597,"Forelimb and hindlimb grip strength normalised against body weight","forelimb_and_hindlimb_grip_strength_normalised_against_body_weight","IMPC_GRS_011_001","Motor_Function"
17598,"Experimenter ID","","IMPC_GRS_012_001","Others"
17599,"Equipment model","","IMPC_GRS_013_001","General_and_Equipment"
17600,"Date equipment last calibrated","","IMPC_GRS_014_001","General_and_Equipment"
17722,"Response amplitude - BN","response_amplitude_bn","IMPC_ACS_001_001","Others"
17723,"Response amplitude - PP1","response_amplitude_pp1","IMPC_ACS_002_001","Others"
17724,"Response amplitude - PP2","response_amplitude_pp2","IMPC_ACS_003_001","Others"
17725,"Response amplitude - PP3","response_amplitude_pp3","IMPC_ACS_004_001","Others"
17726,"Response amplitude - PP4","response_amplitude_pp4","IMPC_ACS_005_001","Others"
17727,"Response amplitude - S","response_amplitude_s","IMPC_ACS_006_001","Others"
17728,"Response amplitude - PP1_S","response_amplitude_pp1_s","IMPC_ACS_007_001","Others"
17729,"Response amplitude - PP2_S","response_amplitude_pp2_s","IMPC_ACS_008_001","Others"
17730,"Response amplitude - PP3_S","response_amplitude_pp3_s","IMPC_ACS_009_001","Others"
17731,"Response amplitude - PP4_S","response_amplitude_pp4_s","IMPC_ACS_010_001","Others"
17732,"Light level in chamber","light_level_in_chamber","IMPC_ACS_011_001","Others"
17733,"Date and time","date_and_time","IMPC_ACS_012_001","Others"
17734,"Experimenter ID","experimenter","IMPC_ACS_014_001","Others"
17735,"Startle stimulus","startle_pulse","IMPC_ACS_015_001","Others"
17736,"Background noise","background_noise","IMPC_ACS_016_001","Others"
17737,"Pre-pulse stimulus 1","pre_pulse_stimulus_1","IMPC_ACS_017_001","Others"
17738,"Pre-pulse stimulus 2","pre_pulse_stimulus_2","IMPC_ACS_018_001","Others"
17739,"Pre-pulse stimulus 3","pre_pulse_stimulus_3","IMPC_ACS_019_001","Others"
17740,"Pre-pulse stimulus 4","pre_pulse_stimulus_4","IMPC_ACS_020_001","Others"
17741,"Inter-trial interval","inter_trial_interval","IMPC_ACS_021_001","Others"
17742,"Number of trials","number_of_trials","IMPC_ACS_022_001","Others"
17743,"In-chamber adapt time","in_chamber_adapt_time","IMPC_ACS_023_001","Others"
17744,"Stimulus order","stimulus_order","IMPC_ACS_024_001","Others"
17745,"Mouse chamber ID","mouse_chamber_id","IMPC_ACS_025_001","Others"
17746,"Equipment ID","equipment_name","IMPC_ACS_026_001","General_and_Equipment"
17747,"Equipment manufacturer","equipment_manufacturer","IMPC_ACS_027_001","General_and_Equipment"
17748,"Equipment model","equipment_model","IMPC_ACS_028_001","General_and_Equipment"
17749,"Software version","software_version","IMPC_ACS_029_001","Others"
17750,"Mouse chamber dimension","mouse_chamber_dimension","IMPC_ACS_030_001","Others"
17751,"Sound generator manufacturer","sound_generator","IMPC_ACS_031_001","Others"
17752,"Sound-proof box dimension","sound_proof_box_dimension","IMPC_ACS_032_001","Others"
17753,"% Pre-pulse inhibition - PPI1","_pre_pulse_inhibition_pp1","IMPC_ACS_033_001","Others"
17754,"% Pre-pulse inhibition - PPI2","_pre_pulse_inhibition_pp2","IMPC_ACS_034_001","Others"
17755,"% Pre-pulse inhibition - PPI3","_pre_pulse_inhibition_pp3","IMPC_ACS_035_001","Others"
17756,"% Pre-pulse inhibition - PPI4","_pre_pulse_inhibition_pp4","IMPC_ACS_036_001","Others"
17757,"% Pre-pulse inhibition - Global","_pre_pulse_inhibition_global","IMPC_ACS_037_001","Others"
17758,"Date equipment last calibrated","","IMPC_ACS_038_001","General_and_Equipment"
17759,"Inter PP-S stimulus interval","","IMPC_ACS_013_001","Others"
17760,"Sound generator model","","IMPC_ACS_039_001","Others"
18100,"Body weight before experiment","body_weight_before_experiment","IMPC_CAL_001_001","Weight_and_Body_Composition"
18101,"Body weight after experiment","body_weight_after_experiment","IMPC_CAL_002_001","Weight_and_Body_Composition"
18102,"Oxygen consumption","oxygen_consumption","IMPC_CAL_003_001","Others"
18103,"Carbon dioxide production","carbon_dioxide_production","IMPC_CAL_004_001","Others"
18104,"Heat production (metabolic rate)","heat_production_metabolic_rate_","IMPC_CAL_005_001","Metabolic"
18105,"Ambulatory activity  (no. of beam cuts)","ambulatory_activity_no_of_beam_cuts_","IMPC_CAL_006_001","Behavior"
18106,"Total activity  (no. of fine movement + no. of beam cuts)","total_activity_no_of_fine_movement_no_of_beam_cuts_","IMPC_CAL_007_001","Behavior"
18107,"Total food intake","total_food_intake","IMPC_CAL_008_001","Others"
18108,"Cumulative food intake","cumulative_food_intake","IMPC_CAL_009_001","Others"
18109,"Time of dark cycle start","The starting time of the dark cycle. E.g. 7 p.m. ","IMPC_CAL_010_001","Others"
18110,"Room temperature","room_temperature","IMPC_CAL_011_001","Others"
18111,"Acclimation to respirometry cages","acclimation_to_respirometry_cages","IMPC_CAL_012_001","Others"
18112,"Duration of test","duration_of_test","IMPC_CAL_013_001","Others"
18113,"Equipment ID","equipment_name","IMPC_CAL_014_001","General_and_Equipment"
18114,"Equipment manufacturer","equipment_manufacturer","IMPC_CAL_015_001","General_and_Equipment"
18115,"Equipment model","equipment","IMPC_CAL_016_001","General_and_Equipment"
18116,"Respiratory Exchange Ratio","respiratory_exchange_ratio","IMPC_CAL_017_001","Respiratory"
18117,"Experimenter ID","","IMPC_CAL_018_001","Others"
18118,"Date equipment last calibrated","","IMPC_CAL_019_001","General_and_Equipment"
18119,"Time of dark cycle end","The ending time of the dark cycle. E.g. 7 a.m. ","IMPC_CAL_020_001","Others"
18120,"Total water intake","","IMPC_CAL_021_001","Others"
18121,"Cumulative water intake","","IMPC_CAL_022_001","Others"
18301,"Body Weight","body_weight","IMPC_IPG_001_001","Weight_and_Body_Composition"
18302,"Blood glucose concentration","blood_glucose_concentration","IMPC_IPG_002_001","Blood"
18303,"Equipment ID","equipment_name","IMPC_IPG_003_001","General_and_Equipment"
18304,"Equipment manufacturer","equipment_manufacturer","IMPC_IPG_004_001","General_and_Equipment"
18305,"Equipment model","equipment_model","IMPC_IPG_005_001","General_and_Equipment"
18306,"Mouse restrained","mouse_restrained","IMPC_IPG_006_001","Others"
18307,"Type of strip","type_of_strip","IMPC_IPG_007_001","Others"
18308,"Experimenter ID","","IMPC_IPG_008_001","Others"
18309,"Date equipment last calibrated","","IMPC_IPG_009_001","General_and_Equipment"
18310,"Fasted blood glucose concentration",NA,"IMPC_IPG_010_001","Blood"
18311,"Initial response to glucose challenge",NA,"IMPC_IPG_011_001","Metabolic"
18312,"Area under glucose response curve",NA,"IMPC_IPG_012_001","Metabolic"
18313,"Upper limit of the meter",NA,"IMPC_IPG_013_001","Others"
18421,"Body weight","","IMPC_CHL_001_001","Weight_and_Body_Composition"
18422,"Frequency of breathing (f)","","IMPC_CHL_002_001","Respiratory"
18423,"Tidal volume (TVb)","","IMPC_CHL_003_001","Others"
18424,"Minute volume (MVb)","","IMPC_CHL_004_001","Others"
18425,"Peak expiratory flow (PEFb)","","IMPC_CHL_005_001","Others"
18426,"Peak inspiratory flow (PIFb)","","IMPC_CHL_006_001","Others"
18427,"Pause (PAU)","","IMPC_CHL_007_001","Others"
18428,"Inspiratory time (Ti)","","IMPC_CHL_008_001","Others"
18429,"Expiratory time (Te)","","IMPC_CHL_009_001","Others"
18430,"Relaxation time (Tr)","","IMPC_CHL_010_001","Others"
18431,"Time of pause (Tp)","","IMPC_CHL_011_001","Others"
18432,"Enhanced pause (Penh)","","IMPC_CHL_012_001","Others"
18433,"Rejection index (Rinx)","","IMPC_CHL_013_001","Others"
18434,"Rpef","","IMPC_CHL_014_001","Others"
18435,"TB","","IMPC_CHL_015_001","Others"
18436,"Compensation (Comp)","","IMPC_CHL_016_001","Others"
18437,"Flow at point 50% TV expired (EF50)","","IMPC_CHL_017_001","Others"
18438,"Equipment ID","","IMPC_CHL_018_001","General_and_Equipment"
18439,"Experimenter ID","","IMPC_CHL_019_001","Others"
18440,"Equipment manufacturer","","IMPC_CHL_020_001","General_and_Equipment"
18441,"Equipment model","","IMPC_CHL_021_001","General_and_Equipment"
18442,"Date equipment last calibrated","","IMPC_CHL_022_001","General_and_Equipment"
18443,"Chamber temperature (Tc)","","IMPC_CHL_026_001","Others"
18444,"Relative Humidity (RH)","","IMPC_CHL_027_001","Others"
18445,"Hypoxia challenge data present in submission","","IMPC_CHL_029_001","Others"
18446,"Methacholine challenge: duration of PBS measurement period","Length in minutes of the period for measuring reaction to PBS.","IMPC_CHL_023_001","Others"
18447,"Methacholine challenge: duration of 12.5 mg/ml MCh measurement period","Length in minutes of the period for measuring reaction to 12.5mg/ml MCh.","IMPC_CHL_024_001","Others"
18448,"Methacholine challenge: duration of 25 mg/ml MCh measurement period","Length in minutes of the period for measuring reaction to 25mg/ml MCh.","IMPC_CHL_025_001","Others"
18449,"Methacholine challenge: duration of 50 mg/ml MCh measurement period","Length in minutes of the period for measuring reaction to 50mg/ml MCh.","IMPC_CHL_030_001","Others"
18450,"Methacholine challenge: start of PBS measurement timestamp","","IMPC_CHL_031_001","Others"
18451,"Methacholine challenge: end of PBS measurement timestamp","","IMPC_CHL_032_001","Others"
18452,"Methacholine challenge: start of 12.5 mg/ml MCh measurement timestamp","","IMPC_CHL_033_001","Others"
18453,"Methacholine challenge: end of 12.5 mg/ml MCh measurement timestamp","","IMPC_CHL_034_001","Others"
18454,"Methacholine challenge: start of 25 mg/ml MCh measurement timestamp","","IMPC_CHL_035_001","Others"
18455,"Methacholine challenge: end of 25 mg/ml MCh measurement timestamp","","IMPC_CHL_036_001","Others"
18456,"Methacholine challenge: start of 50 mg/ml MCh measurement timestamp","","IMPC_CHL_037_001","Others"
18457,"Methacholine challenge: end of 50 mg/ml MCh measurement timestamp","","IMPC_CHL_038_001","Others"
18458,"Hypoxia challenge: duration of Unchallenged measurement period","","IMPC_CHL_028_001","Others"
18459,"Hypoxia challenge: start of Unchallenged measurement timestamp","","IMPC_CHL_039_001","Others"
18460,"Hypoxia challenge: end of Unchallenged measurement timestamp","","IMPC_CHL_040_001","Others"
18461,"Hypoxia challenge: duration of 10% O2 measurement period","","IMPC_CHL_041_001","Others"
18462,"Hypoxia challenge: start of 10% O2 measurement timestamp","","IMPC_CHL_042_001","Others"
18463,"Hypoxia challenge: end of 10% O2 measurement timestamp","","IMPC_CHL_043_001","Others"
18464,"Hypoxia challenge: duration of 21% O2 measurement period","","IMPC_CHL_044_001","Others"
18465,"Hypoxia challenge: start of 21% O2 measurement timestamp","","IMPC_CHL_045_001","Others"
18466,"Hypoxia challenge: end of 21% O2 measurement timestamp","","IMPC_CHL_046_001","Others"
18467,"Hypoxia challenge: duration of Baseline measurement period","","IMPC_CHL_047_001","Others"
18468,"Hypoxia challenge: start of Baseline measurement timestamp","","IMPC_CHL_048_001","Others"
18469,"Hypoxia challenge: end of Baseline measurement timestamp","","IMPC_CHL_049_001","Others"
18547,"Body weight","body_weight","IMPC_ABR_001_001","Weight_and_Body_Composition"
18548,"Click-evoked ABR threshold","click_evoked_abr_threshold","IMPC_ABR_002_001","Others"
18549,"Click-evoked ABR waveforms (numerical format)","click_evoked_abr_waveforms_numerical_format_","IMPC_ABR_003_001","Others"
18550,"6kHz-evoked ABR Threshold","6khz_evoked_abr_threshold","IMPC_ABR_004_001","Others"
18551,"6kHz-evoked ABR waveforms (numerical format)","6khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_005_001","Others"
18552,"12kHz-evoked ABR Threshold","12khz_evoked_abr_threshold","IMPC_ABR_006_001","Others"
18553,"12kHz-evoked ABR waveforms (numerical format)","12khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_007_001","Others"
18554,"18kHz-evoked ABR Threshold","18khz_evoked_abr_threshold","IMPC_ABR_008_001","Others"
18555,"18kHz-evoked ABR waveforms (numerical format)","18khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_009_001","Others"
18556,"24kHz-evoked ABR Threshold","24khz_evoked_abr_threshold","IMPC_ABR_010_001","Others"
18557,"24kHz-evoked ABR waveforms (numerical format)","24khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_011_001","Others"
18558,"30kHz-evoked ABR Threshold","30khz_evoked_abr_threshold","IMPC_ABR_012_001","Others"
18559,"30kHz-evoked ABR waveforms (numerical format)","30khz_evoked_abr_waveforms_numerical_format_","IMPC_ABR_013_001","Others"
18560,"Click-evoked + 6 to 30kHz tone waveforms (pdf format)","click_evoked_6_to_30khz_tone_waveforms_pdf_format_","IMPC_ABR_014_001","Others"
18561,"Audiograms","audiograms","IMPC_ABR_015_001","Others"
18562,"Preyer Reflex","preyer_reflex","IMPC_ABR_016_001","Others"
18563,"Click +20dB waveforms (numerical format)","click_20db_waveforms_numerical_format_","IMPC_ABR_017_001","Others"
18564,"Click +50dB waveforms (numerical format)","click_50db_waveforms_numerical_format_","IMPC_ABR_018_001","Others"
18565,"Click +20dB+50dB waveforms (pdf format)","click_20db_50db_waveforms_pdf_format_","IMPC_ABR_019_001","Others"
18566,"P1-N1 amplitude (at each stimulus level)","p1_n1_amplitude_at_each_stimulus_level_","IMPC_ABR_020_001","Others"
18567,"P3-N3 amplitude (at each stimulus level)","p3_n3_amplitude_at_each_stimulus_level_","IMPC_ABR_021_001","Others"
18568,"P1 Latency (at each stimulus level)","p1_latency_at_each_stimulus_level_","IMPC_ABR_022_001","Others"
18569,"N1 Latency (at each stimulus level)","n1_latency_at_each_stimulus_level_","IMPC_ABR_023_001","Others"
18570,"P3 Latency (at each stimulus level)","p3_latency_at_each_stimulus_level_","IMPC_ABR_024_001","Others"
18571,"N3 Latency (at each stimulus level)","n3_latency_at_each_stimulus_level_","IMPC_ABR_025_001","Others"
18572,"P1-P3 Interval (at each stimulus level)","p1_p3_interval_at_each_stimulus_level_","IMPC_ABR_026_001","Others"
18573,"N1-N3 Interval (at each stimulus level)","n1_n3_interval_at_each_stimulus_level_","IMPC_ABR_027_001","Others"
18574,"Range of test stimuli used","range_of_test_stimuli_used","IMPC_ABR_028_001","Others"
18575,"Range of stimulus levels used - Click","range_of_stimulus_levels_used_click","IMPC_ABR_029_001","Others"
18576,"Range of stimulus levels used - 6kHz","range_of_stimulus_levels_used_6khz","IMPC_ABR_030_001","Others"
18577,"Range of stimulus levels used - 12kHz","range_of_stimulus_levels_used_12khz","IMPC_ABR_031_001","Others"
18578,"Range of stimulus levels used - 18kHz","range_of_stimulus_levels_used_18khz","IMPC_ABR_032_001","Others"
18579,"Range of stimulus levels used - 24kHz","range_of_stimulus_levels_used_24khz","IMPC_ABR_033_001","Others"
18580,"Range of stimulus levels used - 30kHz","range_of_stimulus_levels_used_30khz","IMPC_ABR_034_001","Others"
18581,"Extension of stimulus levels","extension_of_stimulus_levels","IMPC_ABR_035_001","Others"
18582,"Stimulus level step size","stimulus_level_step_size","IMPC_ABR_036_001","Others"
18583,"Tone Pip Duration","tone_pip_duration","IMPC_ABR_037_001","Others"
18584,"Tone Pip rise/fall","tone_pip_rise_fall","IMPC_ABR_038_001","Others"
18585,"Repetition Rate","repetition_rate","IMPC_ABR_039_001","Others"
18586,"Number averages","number_averages","IMPC_ABR_040_001","Others"
18587,"Recording Environment","recording_environment","IMPC_ABR_041_001","Others"
18588,"Anesthetic agent 1","anesthetic_agent_1","IMPC_ABR_042_001","Others"
18589,"Anesthetic agent 2","anesthetic_agent_2","IMPC_ABR_043_001","Others"
18590,"Anesthetic agent 1 dosage","anesthetic_agent_1_dosage","IMPC_ABR_044_001","Others"
18591,"Anesthetic agent 2 dosage","anesthetic_agent_2_dosage","IMPC_ABR_045_001","Others"
18592,"Anesthetic administration route","anesthetic_administration_route","IMPC_ABR_046_001","Others"
