"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","parameter_name","pvalue","qc_failure_count","qc_pvalue_failure_count"
"04sgrkv8m3qq7o5","MGI:1913826","UQCRH","C57BL","Late adult","M-G-P_016_001_006","mean-corpuscular-haemoglobin",1.398666,0,1
"0531fe4z1bknt51","MGI:3606576","CDNF","C57BL","Early adult","IMPC_HWT_002_001","tibia length",1.001214,0,1
"05pza1afx69p437","MGI:1289192","FBXO36","C57BL","Early adult","ESLIM_014_001_009","lens",1.135117,0,1
"05r7f527717nzio","MGI:3650624","ARID3C","C57BL","Early adult","JAX_HBD_001_001","total holepokes",1.12806,0,1
"05t6733dmv125w1","MGI:1890077","FOXO1","C57BL","Early adult","JAX_OFD_009_001","whole arena average speed",1.045002,0,1
"061320tz7wt8gp8","MGI:2444069","VWC2L","C57BL","Early adult","IMPC_OFD_014_001","center distance travelled",1.13772,0,1
"061c0mosa2l5q51","MGI:1917315","ANKRD60","C57BL","Early adult","IMPC_CSD_012_001","coat - hair distribution - head",1.177927,0,1
"06529p0oz42l574","MGI:2676458","BIRC7","C57BL","Early adult","M-G-P_008_001_007","transfer arousal",1.167896,0,1
"06hkm88n43t079f","MGI:106227","CAPZA1","C57BL","Early adult","JAXLA_EYE_092_001","retina (combined)",1.389811,0,1
"06met50g1626xvv","MGI:88523","CRYGC","C57BL","Early adult","GMC_923_001_001","body weight",1.492178,0,1
"06wln7eja2e5vmu","MGI:2386797","ST8SIA6","C57BL","Early adult","ESLIM_018_001_003","t cell cd3+ percentage",1.094167,0,1
"0753d3nwn6x68k1","MGI:106227","CAPZA1","C57BL","Early adult","IMPC_CSD_078_001","vocalization",1.133471,0,1
"07p2liwm3qg2774","MGI:98289","SCG5","C57BL","Early adult","IMPC_HEM_029_001","neutrophil differential count",1.138522,0,1
"07u8m08i29n5jv3","MGI:2682639","DDX31","C57BL","E12.5","CCP_XRY_057_001","kyphosis",1.196726,0,1
"07w72767ndwgf8s","MGI:1890645","NEK7","C57BL","E12.5","IMPC_GEL_028_001","forebrain",1.464556,0,1
"07wg39q366g7278","MGI:1914523","NDUFA10","C57BL","Early adult","MGP_CSD_015_001","head coat/hair presence",1.420399,0,1
"08xckxb348m1k12","MGI:1890077","FOXO1","C57BL","E12.5","M-G-P_016_001_006","mean-corpuscular-haemoglobin",1.364462,0,1
"092805t9r199444","MGI:1917634","TMEM185B","C57BL","Early adult","IMPC_ABR_012_001","30khz-evoked abr threshold",1.082559,0,1
"09359796g96q48i","MGI:2442676","CDC14A","C57BL","Early adult","IMPC_HEM_002_001","red blood cell count",1.166341,0,1
"0957c3h38z164y5","MGI:2447076","KIF26B","C57BL","Early adult","IMPC_OFD_020_001","distance travelled - total",1.485734,0,1
"09874gakj32ee25","MGI:2449980","NOXA1","C57BL","Early adult","M-G-P_025_001_001","glucose",1.170213,0,1
"09j43tc172em0j7","MGI:2442939","PM20D1","C57BL","Early adult","ICS_FEA_017_001","% freezing duration habituation-2",1.491949,0,1
"09lj98s1537c53y","MGI:2138365","TMEM237","C57BL","Early adult","IMPC_HEM_003_001","hemoglobin",1.455536,0,1
"09mm1434jx13vv4","MGI:2181366","CAPN8","C57BL","Early adult","IMPC_GEP_052_001","respiratory system",1.203479,0,1
"0c1er66583rm388","MGI:1890577","SRSF4","C57BL","Early adult","IMPC_IPG_010_001","fasted blood glucose concentration",1.104793,0,1
"0c6pzu418d66636","MGI:2152889","DNER","C57BL","Early adult","HRWLLA_IPG_010_001","fasted blood glucose concentration",1.322175,0,1
"0dfp4t89yg37e4i","MGI:2685830","NSL1","C57BL","Early adult","IMPC_FEA_105_001","difference in context and conditioning baseline % freezing",1.330073,0,1
"0ezl8n25f3rq0i6","MGI:2444300","ARHGAP11A","C57BL","Early adult","IMPC_CSD_029_001","activity (body position)",1.153129,0,1
"0f39662k89u35f8","MGI:1920000","FAM117B","C57BL","Early adult","KMPCLA_OFD_022_001","percentage center time",1.330162,0,1
"0fhz866rcb9aqr5","MGI:1862037","SLC12A5","C57BL","Early adult","IMPC_CSD_004_001","tail - morphology",1.098957,0,1
"0fnv6g5j077w5k7","MGI:1917118","PPIE","C57BL","E9.5","IMPC_GEP_022_001","embryo size",1.091535,0,1
"0g0rf37n470a2zg","MGI:2444218","AHDC1","C57BL","Early adult","IMPC_CBC_004_001","urea (blood urea nitrogen - bun)",1.305188,0,1
"0gl094phj4ciu34","MGI:1351614","GYG1","C57BL","Early adult","IMPC_CBC_026_001","free fatty acids",1.437787,0,1
"0i728g7v8g6vz1z","MGI:1923547","KTI12","C57BL","E9.5","ESLIM_014_001_010","lens opacity",1.003022,0,1
"0io47niqpj4j7q5","MGI:1930773","PNKD","C57BL","Early adult","IMPC_FEA_105_001","difference in context and conditioning baseline % freezing",1.155725,0,1
"0j8sbsv1fndkv2s","MGI:3758095","TMEM35B","C57BL","Early adult","IMPC_CBC_012_001","aspartate aminotransferase",1.225501,0,1
"0k8e2o1913se003","MGI:1858745","ICOS","C57BL","Early adult","ESLIM_007_001_013","centre average speed",1.276245,0,1
"0m5188watw81k4c","MGI:1913826","UQCRH","C57BL","Early adult","IMPC_CBC_004_001","urea (blood urea nitrogen - bun)",1.340462,0,1
"0mf30d0c3qwekx9","MGI:1913296","NDUFB5","C57BL","Early adult","IMPC_CSD_049_002","hindlimb digit - shape",1.062744,0,1
"0n56o383pief07k","MGI:1919772","ATXN7L2","C57BL","Early adult","M-G-P_006_001_026","fusion of vertebrae",1.275835,0,1
"0o5c2il0z79z03l","MGI:2442190","CAMK1D","C57BL","Early adult","IMPC_CSD_049_002","hindlimb digit - shape",1.072779,0,1
"0p054s4n3e4p2o7","MGI:1917854","DNAJB14","C57BL","Early adult","IMPC_CBC_013_001","alanine aminotransferase",1.020143,0,1
"0q0d093dk4042f6","MGI:2676921","FOCAD","C57BL","Late adult","ESLIM_013_001_007","right retina",1.085852,0,1
"0q10pg6lafx9zwj","MGI:3605071","YPEL4","C57BL","Early adult","CCP_XRY_020_001","processes on vertebrae",1.139846,0,1
"0q16djs4530e297","MGI:1913941","GAPVD1","C57BL","Late adult","UCD_HRG_001_001","baseline: latency to withdrawal",1.223504,0,1
"0t89i2s43htog74","MGI:2444748","CHD7","C3H","Early adult","IMPC_IMM_003_002","t cells (panel a) - % of live leukocytes (panel a)",1.307082,0,1
"0td04xv06zge94q","MGI:2444120","SPAG4","C57BL","Early adult","IMPC_OFD_011_001","periphery resting time",1.155608,0,1
"0tg04070dvffv61","MGI:1913296","NDUFB5","C57BL","Early adult","IMPC_CSD_012_001","coat - hair distribution - head",1.232629,0,1
"0umj9nokm81167c","MGI:1922869","FASTKD2","C57BL","Early adult","ESLIM_005_001_701","bmc/body weight",1.327197,0,1
"0vw173v82jwuy48","MGI:1329031","CCL20","C57BL","Early adult","CCP_XRY_018_001","shape of vertebrae",1.045929,0,1
"0w47y7ecuxa6w0e","MGI:2159210","TIPARP","C57BL","Early adult","IMPC_EYE_008_001","corneal opacity",1.029725,0,1
"0y36bfpbhb2mw8j","MGI:2447076","KIF26B","C57BL","E12.5","UCD_OWT_004_001","left kidney",1.448021,0,1
"0ygq6xn0xl9kdeg","MGI:96949","MDK","C57BL","Early adult","CCP_XRY_057_001","kyphosis",1.387249,0,1
"0z0jw1y0387hd28","MGI:1920422","EXO5","C57BL","Early adult","ESLIM_018_001_005","b cell cd19+ percentage",1.368306,0,1
"0zk9yx33yv6ri20","MGI:1336993","AP4E1","C57BL","Early adult","IMPC_OFD_016_001","center permanence time",1.180153,0,1
"103r74r2epj34l8","MGI:1917118","PPIE","C57BL","Early adult","JAXLA_CSD_077_001","contact righting",1.094814,0,1
"10th2eo48a97j2m","MGI:1336993","AP4E1","C57BL","Early adult","ESLIM_013_001_007","right retina",1.479427,0,1
"11052652xuv201j","MGI:1862037","SLC12A5","C57BL","Early adult","IMPC_DXA_006_001","body length",1.222681,0,1
"110wt9zr1368zw6","MGI:1916742","FREY1","C57BL","Early adult","JAX_SLW_013_001","breath rate during sleep mean",1.113701,0,1
"116es1bw48z899v","MGI:1923997","DAPL1","C57BL","Early adult","ESLIM_018_001_003","t cell cd3+ percentage",1.250679,0,1
"11cu86ko5wg9v6j","MGI:2385619","KLHL12","C57BL","Middle aged adult","UCD_HRG_001_001","baseline: latency to withdrawal",1.047885,0,1
"11f59i57occiw02","MGI:2152889","DNER","C57BL","Early adult","CCP_LFO_003_001","csn",1.443419,0,1
"11h168f04g6bbl1","MGI:2684063","ASXL1","129SV","Early adult","JAXLA_EYE_092_001","retina (combined)",1.335821,0,1
"11i59z352se33s9","MGI:1923547","KTI12","C57BL","E9.5","IMPC_EYE_010_001","iris/pupil",1.190125,0,1
"1218g6g2r730048","MGI:1336997","LANCL1","C57BL","Early adult","IMPC_CBC_016_001","hdl-cholesterol",1.028226,0,1
"121m74194m50pw5","MGI:1890077","FOXO1","C57BL","Early adult","IMPC_GEL_011_001","embryo turning",1.297578,0,1
"1240874xb5k38tn","MGI:3645211","LIPT1","C57BL","Early adult","JAX_OFD_009_001","whole arena average speed",1.472782,0,1
"126sp9x5s22ey9m","MGI:2138982","ZNFX1","C57BL","Early adult","IMPC_CSD_006_001","coat - color - head",1.327019,0,1
"12tn3enkif3j86e","MGI:2139309","GARNL3","C57BL","E18.5","ICS_FEA_018_001","% freezing duration pre-cue-1",1.185493,0,1
"12w4u0f8u207f4k","MGI:3780953","MNDAL","C57BL","Early adult","IMPC_GRS_010_001","forelimb grip strength normalised against body weight",1.354344,0,1
"132rd3ta8y06998","MGI:2151055","CNNM3","C57BL","Early adult","IMPC_HEM_003_001","hemoglobin",1.479892,0,1
"13832agmss88z7k","MGI:1917118","PPIE","C57BL","Early adult","IMPC_IMM_033_002","naãâ¯ve cd8+ t cells - % of live leukocytes (panel a)",1.017677,0,1
"138p1087rg79536","MGI:2442190","CAMK1D","C57BL","Early adult","JAX_LDT_005_001","time mobile dark side",1.0694,0,1
"13j126eb66j8h23","MGI:96549","IL2RA","C57BL","Early adult","JAX_LDT_007_001","latency to first transition into dark",1.06645,0,1
"13kamy72257zp20","MGI:2181743","D430041D05RIK","C57BL","Early adult","ESLIM_022_001_001","body weight",1.441765,0,1
"13n5yn230492xs1","MGI:1098230","CENPE","C57BL","Early adult","IMPC_OFD_013_001","periphery average speed",1.333577,0,1
"13u7e7s6e38npf2","MGI:1913826","UQCRH","C57BL","Middle aged adult","IMPC_EYE_012_001","pupil shape",1.203046,0,1
"13zr2s601g5imq1","MGI:1336997","LANCL1","C57BL","Early adult","IMPC_HEM_034_001","monocyte cell count",1.312176,0,1
"1441y48w52n93mn","MGI:1921700","PANK2","C57BL","Early adult","ESLIM_007_001_013","centre average speed",1.255197,0,1
"14dwe07xptb9gy9","MGI:1917118","PPIE","C57BL","Early adult","IMPC_ABR_004_001","6khz-evoked abr threshold",1.02074,0,1
"14w3tbj1n53iv10","MGI:2447076","KIF26B","C57BL","E12.5","IMPC_OFD_007_001","whole arena resting time",1.141531,0,1
"14zqyy50l609848","MGI:1918103","VWA3B","C57BL","Early adult","IMPC_ABR_008_001","18khz-evoked abr threshold",1.369681,0,1
"151138k8ib7924f","MGI:1913941","GAPVD1","C57BL","E9.5","IMPC_CBC_015_001","total cholesterol",1.365757,0,1
"1537764ldtunw51","MGI:1918483","ENKUR","C57BL","E18.5","JAX_LDT_007_001","latency to first transition into dark",1.455811,0,1
"15lkxr149u6rq93","MGI:2444594","SLC26A9","C57BL","E18.5","IMPC_GPP_004_001","placenta size",1.402913,0,1
"16192gnb724cxxd","MGI:88294","CACNA1S","C57BL","E15.5","IMPC_EYE_063_001","right inner nuclear layer",1.140941,0,1
"163u8i009qxmxq8","MGI:2135884","GPR63","C57BL","Early adult","IMPC_GEL_063_001","delayed embryonic development",1.437251,0,1
"163zyd93m6k54cs","MGI:1201792","PDE1A","C57BL","Early adult","ESLIM_016_001_004","haematocrit",1.338969,0,1
"169c6uso48h34tm","MGI:2444300","ARHGAP11A","C57BL","Early adult","GMC_923_001_001","body weight",1.051335,0,1
"16h717816d9xg5c","MGI:2684063","ASXL1","C57BL","Early adult","IMPC_CBC_008_001","total bilirubin",1.293248,0,1
"176t0221rxc3v32","MGI:1918965","DHX35","C57BL","Early adult","IMPC_GEP_005_002","responsive to tactile stimuli",1.165515,0,1
"1794m0n10xa9793","MGI:2158650","IDH3B","C57BL","Early adult","IMPC_HEM_019_001","mean platelet volume",1.460506,0,1
"17ccc77m27ypjri","MGI:2155705","P2RY14","C57BL","Early adult","IMPC_HEM_008_001","platelet count",1.023608,0,1
"17h0zmyym56o6zl","MGI:1913302","SDHC","C57BL","Early adult","IMPC_CBC_015_001","total cholesterol",1.032697,0,1
"17ig5jm3m7g22ld","MGI:1276107","MMP16","C57BL","Early adult","IMPC_GRS_008_001","forelimb grip strength measurement mean",1.056691,0,1
"17kcedz38817ex6","MGI:96949","MDK","C57BL","Early adult","IMPC_GPP_004_001","placenta size",1.351596,0,1
"17v8ka715fzp8yl","MGI:1921985","TRIM14","C57BL","Early adult","IMPC_IPG_010_001","fasted blood glucose concentration",1.182906,0,1
"1842z3q7235rqy7","MGI:1336885","CD84","C57BL","Early adult","IMPC_CSD_049_002","hindlimb digit - shape",1.150706,0,1
"18533346n1tz5w9","MGI:2159566","KCNH7","C57BL","Early adult","IMPC_EYE_062_001","right total retinal thickness",1.09421,0,1
"1890ejep1h26067","MGI:2444748","CHD7","129SV","Early adult","UCD_OWT_005_001","right kidney",1.161146,0,1
"18c1f2m9y4p5g51","MGI:2447076","KIF26B","C57BL","E18.5","JAX_ECT_011_001","ma threshold inducing clonic seizure",1.283372,0,1
"18d3bj79t5yk36e","MGI:1890645","NEK7","C57BL","E12.5","CCP_LFO_010_001","hp8",1.311275,0,1
"18f26t364h4agi0","MGI:2444300","ARHGAP11A","C57BL","Early adult","M-G-P_006_001_026","fusion of vertebrae",1.060474,0,1
"18p9lv247k3k4m8","MGI:2444646","HPDL","C57BL","Early adult","IMPC_CBC_003_001","chloride",1.350005,0,1
"1932s904848c9o7","MGI:97372","NPR2","C57BL","E18.5","IMPC_OFD_014_001","center distance travelled",1.460365,0,1
"1958fe96m06sb09","MGI:1913296","NDUFB5","C57BL","E12.5","M-G-P_025_001_021","uric acid",1.040109,0,1
"195a5wb7pn17m87","MGI:2385619","KLHL12","C57BL","Late adult","ESLIM_022_001_001","body weight",1.155854,0,1
"195l9s5i60j35tc","MGI:1917489","GTF3C5","129SV","Early adult","IMPC_EYE_025_001","retinal blood vessels structure",1.139257,0,1
"1964t7f33t53pj2","MGI:109339","EYA3","C57BL","Early adult","IMPC_HEM_008_001","platelet count",1.474017,0,1
"1a8j610s5ar8807","MGI:88399","CHRM4","C57BL","Early adult","M-G-P_016_001_005","mean-cell-volume",1.071954,0,1
"1at2wp32694uiom","MGI:1916125","TMCC2","C57BL","Early adult","ESLIM_016_001_002","red blood cell count",1.269265,0,1
"1b95bx06ge4n46v","MGI:1919410","TMEM163","C57BL","Early adult","HRWLLA_CBC_028_001","creatine kinase",1.171811,0,1
"1bil2dd812wai54","MGI:2386797","ST8SIA6","C57BL","Early adult","IMPC_OFD_012_001","periphery permanence time",1.095663,0,1
"1br9j632w01n364","MGI:1336885","CD84","C57BL","Early adult","IMPC_EYE_069_001","left inner nuclear layer",1.469883,0,1
"1c69y2jz733q2fw","MGI:109442","ITGA8","C57BL","Early adult","IMPC_GEP_022_001","embryo size",1.364693,0,1
"1d7o3ii70238dk8","MGI:2158650","IDH3B","C57BL","Late adult","IMPC_CBC_011_001","iron",1.01455,0,1
"1djvy4mx2y34u87","MGI:1921778","MGME1","C57BL","Late adult","IMPC_OFD_021_001","number of rears - total",1.086772,0,1
"1e016h2b1rcd555","MGI:1890645","NEK7","C57BL","E18.5","HRWLLA_CBC_028_001","creatine kinase",1.283722,0,1
"1e3ak0nb20ifn33","MGI:1917634","TMEM185B","C57BL","Early adult","ESLIM_021_001_005","hdl-cholesterol",1.084068,0,1
"1e3g7r4xmyj68d2","MGI:3780953","MNDAL","C57BL","E9.5","IMPC_ECG_004_001","rr",1.387496,0,1
"1ery3jtfb4y3876","MGI:109442","ITGA8","C57BL","Early adult","IMPC_EYE_064_001","right outer nuclear layer",1.080025,0,1
"1fcyz4f77u027u7","MGI:1916976","SMYD3","129SV","Early adult","ESLIM_013_001_007","right retina",1.326568,0,1
"1fmd4u0c7v4n035","MGI:1920422","EXO5","C57BL","Early adult","IMPC_DXA_006_001","body length",1.086347,0,1
"1gso2k3181449re","MGI:99632","KCNB2","C57BL","Early adult","ESLIM_018_001_003","t cell cd3+ percentage",1.490893,0,1
"1h07ed6f1orfban","MGI:1925867","CSTAD","C57BL","Early adult","M-G-P_006_001_027","number of lumbar vertebrae",1.184593,0,1
"1hd691495v5o71d","MGI:1930773","PNKD","C57BL","Early adult","M-G-P_006_001_027","number of lumbar vertebrae",1.046938,0,1
"1iav7ercow6b2ux","MGI:1920000","FAM117B","C53BL","Early adult","IMPC_CSD_011_001","coat - hair distribution - back",1.424337,0,1
"1iz74scs8800lc3","MGI:1349461","B3GALT2","C57BL","Early adult","HRWLLA_CBC_028_001","creatine kinase",1.378592,0,1
"1l1jy43j6sj7xh1","MGI:2385112","NDUFS2","C57BL","E9.5","IMPC_ABR_004_001","6khz-evoked abr threshold",1.054706,0,1
"1l2b8a1bjabffo1","MGI:2385619","KLHL12","C57BL","Late adult","M-G-P_014_001_007","cornea opacity",1.285116,0,1
"1l52f8g9533q88v","MGI:3780953","MNDAL","C57BL","E9.5","ESLIM_014_001_009","lens",1.343068,0,1
"1lv7dla4np8uypb","MGI:102806","ACVR2A","C57BL","E15.5","IMPC_CSD_002_001","tail - length",1.285307,0,1
"1ngmkskpv083u14","MGI:5301008","FSBP","C57BL","Early adult","M-G-P_006_001_027","number of lumbar vertebrae",1.484167,0,1
"1pg33z586lsl9po","MGI:3027003","INO80D","C57BL","E12.5","IMPC_GEL_029_001","midbrain",1.380123,0,1
"1pn82p9u9265494","MGI:2146189","TOPORS","C57BL","Early adult","IMPC_HEM_040_001","large unstained cell (luc) differential count",1.489699,0,1
"1r04h0hs15y14y1","MGI:2156687","SLC2A10","C57BL","Early adult","IMPC_GEL_011_001","embryo turning",1.386868,0,1
"1r60448wc5959b5","MGI:1098230","CENPE","C57BL","Early adult","JAX_LDT_001_001","side changes",1.358859,0,1
"1r7d1t3188xv407","MGI:2146189","TOPORS","C57BL","Early adult","IMPC_CAL_017_001","respiratory exchange ratio",1.243655,0,1
"1rxbxbt8h719532","MGI:1336879","FKBP7","129SV","Early adult","IMPC_GEO_048_002","anophthalmia",1.067534,0,1
"1s32i083g62z5hq","MGI:2685061","DYTN","C57BL","Early adult","IMPC_DXA_009_001","fat/body weight",1.3385,0,1
"1s63wl4487t2ka5","MGI:2386797","ST8SIA6","C57BL","Early adult","IMPC_EYE_055_001","max left eye lens density",1.353442,0,1
"1sq4758lc45h196","MGI:1916976","SMYD3","C57BL","Early adult","M-G-P_026_001_004","coat colouration",1.117733,0,1
"1vpi5w102268bpm","MGI:1917118","PPIE","C57BL","E9.5","IMPC_GEP_024_001","body wall morphology",1.102111,0,1
"1w9k03417j123n8","MGI:1861453","ACTL6A","C57BL","Early adult","IMPC_GPP_002_001","placenta morphology",1.149233,0,1
"1wv21il04udt9pw","MGI:2180370","PROK1","C57BL","Early adult","IMPC_OFD_007_001","whole arena resting time",1.22214,0,1
"1xomov699hsa27s","MGI:95476","FABP3","C57BL","Early adult","IMPC_HEM_027_001","red blood cell distribution width",1.036777,0,1
"1z4i71x30794wgj","MGI:1913826","UQCRH","C57BL","Early adult","IMPC_CSD_032_001","locomotor activity",1.427951,0,1
"1z86673477rz9e2","MGI:2682639","DDX31","C57BL","Early adult","IMPC_IMM_033_002","naãâ¯ve cd8+ t cells - % of live leukocytes (panel a)",1.220403,0,1
"1zt0en84bv58rnc","MGI:2443258","MAP3K20","C57BL","Early adult","IMPC_ABR_008_001","18khz-evoked abr threshold",1.061425,0,1
"2013g84x687h35g","MGI:3027003","INO80D","C57BL","Early adult","IMPC_ECG_003_001","cv",1.443069,0,1
"208p69v16391460","MGI:1349461","B3GALT2","C57BL","Early adult","IMPC_EYE_016_001","lens",1.00235,0,1
"20vi4u42jm41rs3","MGI:1913941","GAPVD1","C57BL","Early adult","IMPC_ECG_003_001","cv",1.396776,0,1
"20vl025b053me1o","MGI:88294","CACNA1S","C57BL","E18.5","ESLIM_007_001_013","centre average speed",1.251801,0,1
"20wdu2651htis1r","MGI:1354944","ORC3","C57BL","Early adult","IMPC_CBC_018_001","glucose",1.452703,0,1
"2124673929p37sv","MGI:1916742","FREY1","C57BL","Early adult","IMPC_ABR_002_001","click-evoked abr threshold",1.286874,0,1
"212xf610rz9j71i","MGI:2385619","KLHL12","C57BL","Early adult","IMPC_CSD_007_001","coat - color - abdomen",1.396686,0,1
"22hocddzwm0q91s","MGI:1918483","ENKUR","C57BL","Early adult","IMPC_EYE_069_001","left inner nuclear layer",1.355403,0,1
"22nq23e90fj97tw","MGI:1277960","PATJ","C57BL","Middle aged adult","ESLIM_022_001_001","body weight",1.338816,0,1
"22s9g9hl728a436","MGI:1342287","KLF4","C57BL","Early adult","IMPC_HEM_001_001","white blood cell count",1.132706,0,1
"22v4731ot3o9ze6","MGI:1919410","TMEM163","C57BL","Early adult","UCD_OWT_029_001","body length",1.320223,0,1
"2303zs8w5ei027u","MGI:1277960","PATJ","C57BL","Late adult","IMPC_GEL_014_001","allantois morphology",1.407867,0,1
"230gwmio52amel0","MGI:1921778","MGME1","C57BL","Late adult","IMPC_EYE_065_001","right posterior chamber depth",1.141809,0,1
"2368p6raeh0wfiy","MGI:1890077","FOXO1","C57BL","E12.5","UCD_OWT_029_001","body length",1.440993,0,1
"2375868d94ryu28","MGI:1890077","FOXO1","C57BL","Early adult","IMPC_HEM_004_001","hematocrit",1.051024,0,1
"239leb46h2pu6k1","MGI:2676921","FOCAD","C57BL","E18.5","CCP_LFO_011_001","inspiratory capacity",1.46378,0,1
"23a2z5f008cql4k","MGI:1919132","SERINC2","C57BL","Early adult","IMPC_CBC_008_001","total bilirubin",1.427395,0,1
"23e63a8v9d4di8e","MGI:1913842","STOML2","C57BL","Early adult","IMPC_CSD_032_001","locomotor activity",1.496325,0,1
"23uz5gi79nm7rx7","MGI:2156003","SNIP1","C57BL","Early adult","IMPC_GEL_028_001","forebrain",1.146822,0,1
"240yvxn8242196z","MGI:96549","IL2RA","C57BL","Early adult","KMPCLA_OFD_016_001","center permanence time",1.137146,0,1
"2442g605rxrwto5","MGI:2155705","P2RY14","C57BL","Middle aged adult","IMPC_OFD_018_001","latency to center entry",1.33346,0,1
"244lrgixrzx2rlj","MGI:1913941","GAPVD1","C57BL","Late adult","ESLIM_005_001_005","bone mineral content",1.081289,0,1
"24f58vi9ycjonh9","MGI:1928902","CNOT9","C57BL","Early adult","IMPC_EYE_007_001","cornea",1.130612,0,1
"24hrss2w2310014","MGI:1890645","NEK7","C57BL","E15.5","IMPC_HEM_003_001","hemoglobin",1.048015,0,1
"24m899358x9z0l4","MGI:1890077","FOXO1","C57BL","E9.5","IMPC_OFD_012_001","periphery permanence time",1.364938,0,1
"24t36390o8m1erl","MGI:2181366","CAPN8","C57BL","Early adult","CCP_LFO_004_001","esn",1.482752,0,1
"24u08536uch4c71","MGI:1197010","SUMO1","C57BL","Early adult","IMPC_HEM_034_001","monocyte cell count",1.100101,0,1
